para_id,H,I,A,F,B,E,D,G,C
110,6.778048363019124e-14,0.017580435556382137,5.967162737660062e-42,0.0015565250659760942,9.459597385045974e-28,2.2909871593314904e-48,3.808126568381991e-25,1.0252446593415104e-44,1.0110533003744559e-42
111,1.341762854765671e-11,0.02047727395393851,3.969583990641233e-20,3.3649342671124136e-17,1.4702173076684216e-13,6.3492068995393064e-21,0.0010493503052351287,3.245451443865157e-11,0.005477474260935818
112,6.306174207139194e-33,0.002504815157172451,5.120834433122467e-43,1.8406879326024815e-57,8.581909413422916e-52,1.1937557771889337e-43,0.016468483288866815,1.2378563141806331e-27,1.5982192893842204e-35
113,8.988385143156916e-102,0.009034402064712949,9.125835727388848e-75,4.041675345291771e-99,5.3302963814676545e-81,2.585063307395771e-146,2.0404324029658912e-157,1.59334606203267e-122,4.6432578846774265e-136
114,0.001273991890860942,0.01757101498859916,1.124683693594886e-50,2.1975227360973755e-33,1.4895640798253047e-15,2.4503498470805136e-26,3.397847314896014e-10,6.353633888887924e-21,0.0033787928519687046
115,3.0947650586265746e-12,0.017421203149078555,5.153459005193455e-45,1.0929247497110567e-62,3.095510669925028e-36,2.454959645539441e-34,1.538824935969082e-08,4.605492755473169e-56,1.8367121541991549e-34
116,1.0681186978485173e-20,2.0686772759658857e-12,1.1723861753533927e-72,7.3344605646497366e-65,1.2845630728081591e-54,8.266795217921433e-42,0.02052670236853045,1.6105709225352192e-36,3.986469844219514e-42
117,6.050559684903277e-25,2.049158016337998e-28,2.7148804745956854e-42,1.5367445442367406e-21,1.4444411007678954e-78,5.498723357678959e-25,0.022409860413074367,5.99826549718495e-40,3.865976785229841e-41
118,1.4239339146504497e-11,0.00438384631079264,4.741384445677549e-35,3.1603156591859734e-50,2.0524151496493497e-44,1.9299543197429034e-46,0.01909668168662885,2.4178814863715454e-23,6.662655249956439e-36
119,0.0014117038959931118,0.012561908127909787,0.001084998089971251,1.506281460406956e-43,7.042186513175223e-27,2.785376035157422e-12,0.01133516228621295,4.5048400616538514e-13,9.806996288111266e-31
120,2.956997103440793e-16,0.018248205856675005,1.5395485834710132e-11,4.1572121765215e-38,4.15582922695908e-56,4.725835827075491e-49,2.5252291476362715e-32,7.126014883846149e-25,1.1237977744994478e-69
121,0.0040971838007104735,0.019267296188030546,7.750127857904586e-61,2.860962537763893e-43,9.087621005929261e-45,1.8639756782536794e-38,2.5344272723010807e-30,7.126183980764668e-33,1.3813033709292605e-26
122,0.0017966840946596833,0.02196010660187309,1.0380817912813924e-40,2.8524624160236466e-26,6.315700191026328e-22,1.2784131997583284e-27,6.3129647802798875e-18,9.438512596843474e-15,1.4335367842859977e-25
123,0.005104118678248471,0.018250858295886987,2.9520510836782004e-30,2.080493770265055e-30,0.0023229161761855804,3.0484197479100963e-06,0.001114762846743805,1.7580701720558624e-08,1.9935175035670546e-20
124,1.7105644191338918e-13,0.015523096055194028,8.137444090178917e-53,2.0448917916740447e-09,1.090177481609336e-52,5.360606633163513e-60,2.323559344610477e-50,1.8850912535803347e-67,1.1095802263359182e-28
125,2.3992384732209997e-58,0.007037241176145075,0.002863914215365405,0.00901383221316058,1.9080200262177454e-54,1.3613696670349273e-48,2.3538307402893477e-57,1.9336206289376322e-72,6.797055314725061e-82
